Date,Climate_Risk_1,Climate_Risk_2,Climate_Risk_3,Climate_Risk_4,Climate_Risk_5,Climate_Risk_6,Climate_Risk_7,Climate_Risk_8,Climate_Risk_9,Climate_Risk_10,Climate_Risk_11,Climate_Risk_12,Climate_Risk_13,Climate_Risk_14
2005-01-03,0.048194832,-0.033169765,0.040708664,-0.035847544,,0.003052108,,,0.004176448,,,,,
2005-01-04,0.045142843,-0.024421045,0.039721282,-0.026539654,,0.002489612,,,0.002847402,,,,,
2005-01-05,0.055673814,-0.012628408,0.036307879,-0.029630991,,0.001717217,,,0.002750363,,,,,
2005-01-06,0.055029031,-0.017626605,0.040360112,-0.02446537,,0.001711659,,,0.00212983,,,,,
2005-01-07,0.060620531,-0.011768556,0.054601064,-0.011546181,,0.001561496,,,0.002098785,,,,,
2005-01-10,0.075561219,0.000860652,0.06245881,-0.008333566,,0.001546567,,,0.00204769,,,,,
2005-01-11,0.060113667,-0.020763252,0.066258825,-0.0070966,,0.001521179,,,0.002035318,,,,,
2005-01-12,0.039002365,-0.035488668,0.036163045,-0.038431874,,0.001441768,,,0.001945413,,,,,
2005-01-13,0.050677057,-0.015086743,0.053179098,-0.011599142,,0.001400714,,,0.001929466,,,,,
2005-01-14,0.059788655,-0.010801363,0.059435965,-0.010892592,,0.001290686,,,0.001840683,,,,,
2005-01-17,0.04869653,-0.025660146,0.051272391,-0.021097038,,0.001262011,,,0.001834024,,,,,
2005-01-18,0.08388077,0.014109485,0.092554122,0.022847496,,0.001256458,,,0.00176503,,,,,
2005-01-19,0.071274822,-0.013041329,0.071072319,-0.012099632,,0.001149574,,,0.001707,,,,,
2005-01-20,0.066909399,-0.012195561,0.065944804,-0.010220186,,0.001132993,,,0.001522799,,,,,
2005-01-21,0.06582398,-0.011476351,0.074898408,0.000405917,,0.001092129,,,0.001515721,,,,,
2005-01-24,0.068015959,-0.008835669,0.099653336,0.022240347,,0.001088153,,,0.001505641,,,,,
2005-01-25,0.081146781,0.003389007,0.089917307,0.004429726,,0.001036164,,,0.001391152,,,,,
2005-01-26,0.124128058,0.040942115,0.097597088,0.015285217,,0.001027954,,,0.001362787,,,,,
2005-01-27,0.069340153,-0.031613886,0.076470828,-0.008346044,,0.001018465,,,0.00132891,,,,,
2005-01-28,0.072225433,-0.006079751,0.066180034,-0.011745849,,0.001005276,,,0.001127481,,,,,
2005-01-31,0.121996916,0.042498982,0.086542253,0.011973035,,0.000934558,,,0.00111789,,,,,
2005-02-01,0.122775814,0.022702771,0.116424843,0.035213851,,0.00092988,,,0.001100145,,,,,
2005-02-02,0.099845653,-0.000549379,0.110448425,0.019490292,,0.000901219,,,0.001081369,,,,,
2005-02-03,0.083505311,-0.007410587,0.079098274,-0.009910463,,0.000871371,,,0.001025619,,,,,
2005-02-04,0.087750464,0.003589524,0.081019123,0.002236217,,0.000866126,,,0.001000932,,,,,
2005-02-07,0.063514065,-0.022401785,0.047348865,-0.032060586,,0.000863525,,,0.000983033,,,,,
2005-02-08,0.087222207,0.011325478,0.080773045,0.012346201,,0.000851119,,,0.000968642,,,,,
2005-02-09,0.076853899,-0.008843574,0.100611625,0.02128244,,0.000837228,,,0.000965236,,,,,
2005-02-10,0.095503806,0.014092503,0.064688304,-0.021111853,,0.000807258,,,0.000958312,,,,,
2005-02-11,0.090283624,0.001162608,0.06142943,-0.012653214,,0.00079108,,,0.000918043,,,,,
2005-02-14,0.092832601,0.005869564,0.071451639,-0.001568021,,0.000782065,,,0.000913088,,,,,
2005-02-15,0.140257123,0.05224036,0.075463631,-0.000825086,,0.000762987,,,0.000910474,,,,,
2005-02-16,0.086808243,-0.020813413,0.072743724,-0.00485363,,0.000746724,,,0.000908507,,,,,
2005-02-17,0.063239444,-0.0222869,0.073409349,-0.003300822,,0.000743431,,,0.000894312,,,,,
2005-02-18,0.087927912,0.012144709,0.076947333,2e-05,,0.000734923,,,0.000880409,,,,,
2005-02-21,0.0595547,-0.026434505,0.05778203,-0.020299279,,0.000734421,,,0.000855274,,,,,
2005-02-22,0.061352112,-0.012907849,0.068548873,-0.003281074,,0.000724654,,,0.000846351,,,,,
2005-02-23,0.076449616,0.00144662,0.073359047,-0.001982842,,0.000720827,,,0.000836665,,,,,
2005-02-24,0.084297011,0.003052835,0.068655,-0.008255878,,0.000717575,,,0.000813072,,,,,
2005-02-25,0.116678429,0.032190207,0.086917566,0.01154106,,0.000715432,,,0.000812357,,,,,
2005-02-28,0.092087517,-0.005786908,0.078333362,-0.00300005,,0.000700337,,,0.000784297,,,,,
2005-03-01,0.064494648,-0.023214103,0.078697064,0.000163658,,0.000698268,,,0.000777199,,,,,
2005-03-02,0.090193821,0.013891728,0.078548466,-0.000103573,,0.000697049,,,0.000775453,,,,,
2005-03-03,0.080530635,-0.006395279,0.073121616,-0.005481952,,0.000692382,,,0.000738162,,,,,
2005-03-04,0.067163401,-0.015767833,0.083338784,0.006505352,,0.00068952,,,0.000731063,,,,,
2005-03-07,0.071284925,-0.006120408,0.069145331,-0.01102075,,0.000677449,,,0.000723967,,,,,
2005-03-08,0.093659845,0.014550709,0.058726825,-0.016809618,,0.000676835,,,0.000702674,,,,,
2005-03-09,0.077876856,-0.010481882,0.083464848,0.011326726,,0.000675369,,,0.000683082,,,,,
2005-03-10,0.060656273,-0.021177911,0.061038,-0.0191692,,0.000675286,,,0.000677832,,,,,
2005-03-11,0.081741674,0.007026332,0.066138981,-0.006753003,,0.000657029,,,0.000673237,,,,,
2005-03-14,0.079883694,-0.003548174,0.115174552,0.040618725,,0.000645509,,,0.000669925,,,,,
2005-03-15,0.089580952,0.006917158,0.087257923,-0.003292388,,0.000637224,,,0.000667063,,,,,
2005-03-16,0.083282278,-0.00339028,0.083608436,0.002164005,,0.000634518,,,0.000665271,,,,,
2005-03-17,0.073004937,-0.011063803,0.086017882,0.005763846,,0.000632924,,,0.000663161,,,,,
