Date,Climate_Risk_Component_vs_GPR_Component,Climate_Risk_Component_vs_Combined_Uncertainty_Index,GPR_Component_vs_Combined_Uncertainty_Index
2005-01-01,,,
2005-02-01,,,
2005-03-01,,,
2005-04-01,,,
2005-05-01,,,
2005-06-01,-0.8909455378470587,0.2935534986025146,0.17256310023046448
2005-07-01,-0.912058374535098,-0.08855331105750469,0.48921522914894067
2005-08-01,-0.8818896457854993,-0.0007945589065756451,0.4721564506771126
2005-09-01,-0.8811965987553804,0.02235491272701937,0.4529327770071166
2005-10-01,-0.8622460717034908,0.10180612227672045,0.41607607912410527
2005-11-01,-0.8745974111628456,0.14191118115875662,0.35582771569344124
2005-12-01,-0.638285671211003,0.23168175708266375,0.6009754509623296
2006-01-01,-0.49738294597090527,0.13303852983665643,0.7936484017693138
2006-02-01,-0.3568463241185716,0.21748228734404948,0.8341954691800368
2006-03-01,-0.15689414206699848,0.3325455363111121,0.8792330191803813
2006-04-01,0.0676227988995693,0.6233383834290142,0.8223141758804469
2006-05-01,0.07648795112378404,0.6124257619906254,0.8350554499625679
2006-06-01,0.01853175425656848,0.5659820724205902,0.8347646134982779
2006-07-01,0.1793532295806682,0.5688581174028835,0.911126210703726
2006-08-01,0.1462958664931945,0.5718834109018482,0.8951730075807492
2006-09-01,0.32388369096400577,0.7463898440729407,0.871379482926362
2006-10-01,0.21937754852004854,0.7244919262427197,0.8314296370001385
2006-11-01,-0.29082860176357717,0.20119045651459017,0.8786992278853115
2006-12-01,-0.4894420691625245,-0.07245559963400872,0.905206607615949
2007-01-01,-0.37002783113746107,0.0033896238837429456,0.9277610772019186
2007-02-01,-0.09433926870674479,0.26816142617551564,0.9337792936819657
2007-03-01,0.20994547904097663,0.5372659720797189,0.9374123726966109
2007-04-01,0.32465401612973727,0.6135682121467958,0.9460664602818124
2007-05-01,0.4041414812922052,0.6888774885500846,0.9414471336330477
2007-06-01,0.4449615365315426,0.7227089056937884,0.940539104455926
2007-07-01,0.36851898715194237,0.7250399352853444,0.9074267747309473
2007-08-01,0.23824066304034594,0.7269157968272361,0.8401339997695065
2007-09-01,0.0991618778488946,0.7271916705412319,0.7551609370494654
2007-10-01,-0.07103524551680979,0.5619292154049174,0.7851789116872349
2007-11-01,-0.15823961400999478,0.41578302531705635,0.8322119244351536
2007-12-01,0.004898974838714928,0.38303244992807267,0.9256002689258013
2008-01-01,0.244679868598742,0.5283757230290752,0.9524869635077329
2008-02-01,0.46120396031461514,0.6864502868791483,0.9618132530078761
2008-03-01,0.4111975117452227,0.6510686349788631,0.9595986166577732
2008-04-01,0.38465404735356323,0.6399390910282997,0.9554587544810778
2008-05-01,0.05908665134769945,0.4196477381019784,0.9308967683684749
2008-06-01,0.1282043665223853,0.500119249002997,0.922927943804779
2008-07-01,0.506678957744187,0.7290576169871685,0.9594883336603304
2008-08-01,0.3454106125419205,0.6468047141931629,0.9391286825063646
2008-09-01,0.14701332767148106,0.4793512630425214,0.9385583548024033
2008-10-01,0.25490817999444526,0.550881021502382,0.9474376111643472
2008-11-01,0.10966980130621895,0.3953046712161283,0.9563624222031307
2008-12-01,0.42013218884526027,0.6766812086265048,0.9524388426414607
2009-01-01,0.5926279931848398,0.7866102938927487,0.9635084505889884
2009-02-01,0.7565127784907487,0.874409406374057,0.9788051449883506
2009-03-01,0.6326348666299407,0.8048507659299099,0.9687952358938783
2009-04-01,0.5387706491966958,0.7609741227000921,0.9565587249567652
2009-05-01,0.16201620110473394,0.5307610632964178,0.9223160206881478
2009-06-01,0.13315677154393263,0.5594590506809212,0.8959727620229355
2009-07-01,0.18672748082142357,0.6113273823785693,0.8916104777525079
2009-08-01,-0.028637959694023066,0.5541114525008499,0.8162324413005554
2009-09-01,-0.3760085245151811,0.5201175664883068,0.5958493285625304
2009-10-01,-0.4555582283478297,0.7099566609522046,0.30349684552645534
2009-11-01,-0.11269384022260841,0.8064293456168099,0.4966839207412182
2009-12-01,0.27647011707377556,0.8354461523603014,0.7591272613530101
2010-01-01,0.14048296524096035,0.6744021969632846,0.8257839231856461
2010-02-01,0.1134518342078821,0.5435004344504334,0.8956503614789081
