Date,Climate_Risk_Component,GPR_Component,Correlation_Adjusted_Index,Equal_Weighted_Index
2005-01-01,-1.1016467843494333,0.0,-0.9747559245782929,-0.5508233921747167
2005-02-01,0.21811208558670733,-0.48791958120775475,0.1367893181643828,-0.13490374781052372
2005-03-01,-0.3626346180750743,-0.21667734051468507,-0.3458228371098805,-0.2896559792948797
2005-04-01,0.2090121775966137,-0.8379934257832764,0.08841504693233054,-0.31449062409333134
2005-05-01,0.40563179177537756,-1.5382774491152036,0.18172670858727016,-0.566322828669913
2005-06-01,0.9946672318884786,-1.6916234877505056,0.685252504906344,-0.3484781279310135
2005-07-01,1.1447807672732433,-2.413875813621187,0.7348844197369626,-0.6345475231739718
2005-08-01,0.5263582429826419,-0.7960592472207138,0.3740383754060377,-0.13485050211903593
2005-09-01,-0.12034132070332935,-0.7625951822874377,-0.19431797623895036,-0.44146825149538355
2005-10-01,0.6749939558685369,-0.9997673544338711,0.48209010901420135,-0.16238669928266708
2005-11-01,1.1252499907300602,-1.6916024944810304,0.8007967823380551,-0.2831762518754851
2005-12-01,-0.08937244691175521,-2.4878997417825595,-0.3656417511519848,-1.2886360943471573
2006-01-01,0.6192681856179515,-2.5501647233365574,0.2542037452568033,-0.9654482688593029
2006-02-01,0.26584936162944495,-2.9634297127015867,-0.10610833298208208,-1.348790175536071
2006-03-01,0.6334478390730458,-2.923409775266056,0.22375870170262596,-1.144980968096505
2006-04-01,-0.8461447717821747,-2.3708073951340753,-1.0217598181713807,-1.608476083458125
2006-05-01,0.3951013738177249,-2.9147929803176247,0.013858178344774486,-1.25984580324995
2006-06-01,0.6378904133693425,-2.5119026188141254,0.2750881507630617,-0.9370061027223915
2006-07-01,-0.021199530593343664,-4.2310208182478,-0.5060989105600207,-2.126110174420572
2006-08-01,0.20024134925006618,-3.1173433884771997,-0.18188764682595543,-1.4585510196135667
2006-09-01,1.3319707301834083,-2.546839643238858,0.8851981437564209,-0.6074344565277249
2006-10-01,0.2530167275951148,-1.4209497220497598,0.06020443508802148,-0.5839664972273225
2006-11-01,-0.4410961863241656,0.6009713134941491,-0.3210678406964922,0.07993756358499177
2006-12-01,-0.7124151770181364,0.6469119215067326,-0.5558439541067107,-0.032751627755701895
2007-01-01,0.41890477276327304,0.46588293391123825,0.424315853105193,0.44239385333725567
2007-02-01,1.1702298022192124,1.1112496966237364,1.1634363032368482,1.1407397494214744
2007-03-01,1.8402606023936352,1.5057588613284825,1.8017317253327665,1.6730097318610588
2007-04-01,2.1055194145295486,1.7082199057558112,2.0597573091331967,1.90686966014268
2007-05-01,2.198519312299543,1.3879584647597767,2.1051565718074676,1.7932388885296597
2007-06-01,1.6533848672774223,1.198103698288423,1.6009442667225537,1.4257442827829228
2007-07-01,0.30425527923594026,-0.015660138828781228,0.26740649700466557,0.14429757020357953
2007-08-01,1.9353648671723123,-0.40017652639877654,1.666350461038195,0.7675941703867679
2007-09-01,2.3676262248235465,-1.7933526193190419,1.8883526586282084,0.2871368027522523
2007-10-01,1.4187035160645558,-2.921401138179716,0.9187977214872076,-0.7513488110575801
2007-11-01,2.2381540583103017,-2.1474817884461492,1.7330038494194424,0.04533613493207622
2007-12-01,1.0256557164723958,-2.447941682683704,0.6255567312627164,-0.711142983105654
2008-01-01,0.6529548047528791,-2.917415082932439,0.24170928469544722,-1.1322301390897798
